name,ein,city,county,type,ntee,files_990pf,assets,income,revenue
PIERRE AND KATHRYN MCCORMICK FAMILY FOUNDATION INC,822715709,Longboat Key,Sarasota,Private foundation,T22,Y,725185,624036,0
THEDA BOHRER WENDY AND TRACEY SHAPIRO CHARITABLE FOUNDATION INC,260163820,Sarasota,Sarasota,Private foundation,T20,Y,723747,111961,0
BERNARD LEWIS CHARITABLE FOUNDATION,954824569,Longboat Key,Sarasota,Private foundation,T20,Y,717172,20208,0
MERRY S GRAHAM CHARITABLE FOUNDATION TR OF12-9-21,936449273,Sarasota,Sarasota,Private foundation,D20,Y,707582,29954,0
BIRK FOUNDATION,200464855,Sarasota,Sarasota,Private foundation,T22,Y,706835,222082,0
NEWTON IRRV TR FBO GULF COAST HERITAGE ASSOCIATION,816269898,Sarasota,Sarasota,Private foundation,A11,Y,698831,155955,0
THE GARY W WOOD FOUNDATION IRREVOCABLE TRUST,656279593,Venice,Sarasota,Private foundation,T22,Y,694076,49650,0
GELFENBEIN-KAPLAN CHARITABLE FOUNDATION INC,880646382,Bradenton,Manatee,Private foundation,T20,Y,689025,394436,0
RONALD AND GERI YONOVER FOUNDATION,367296696,Longboat Key,Sarasota,Private foundation,T30,Y,684152,218022,0
CHARLES AND BARBARA DEWEY FAMILY FOUNDATION,854324690,Osprey,Sarasota,Private foundation,T20,Y,667202,581288,0
EDNA WEINSTEIN RESIDUARY TR,206419096,Bradenton,Manatee,Private foundation,B82,Y,667062,48430,0
THOMAS V GUARINO FAMILY FOUNDATION INC,061617207,Longboat Key,Sarasota,Private foundation,B82,Y,666794,241603,0
FAWKES FOUNDATION INC,934980028,Venice,Sarasota,Private foundation,T22,Y,665715,274317,0
SARASOTA ROTARY FOUNDATION INC,596153330,Sarasota,Sarasota,Public grantmaker,T30,,640062,195830,184564
DODT FAMILY FOUNDATION INC,650812002,Bradenton,Manatee,Private foundation,T20Z,Y,639325,26398,0
RUBIN CHARITABLE FOUNDATION,650620355,Sarasota,Sarasota,Private foundation,T22Z,Y,633887,38765,0
MORTON J AND BERNICE W SKIRBOLL FAMILY FOUNDATION,371549358,Longboat Key,Sarasota,Private foundation,T20,Y,632433,450709,0
RICHARD B SNEED FOUNDATION,311627480,Sarasota,Sarasota,Private foundation,T20,Y,629788,157806,0
DALE AND PATSY HOSMAN FAMILY FOUNDATION INC,911834655,Englewood,Sarasota,Private foundation,T22Z,Y,628108,162982,0
JW & P BLAKELY FAMILY FOUNDATION,463698549,Sarasota,Sarasota,Private foundation,T20,Y,621210,83612,0
DUNHAM FAMILY FOUNDATION INC,352093923,North Port,Sarasota,Private foundation,T22,Y,606689,248918,0
MARCEL A NICOLAS JR AND MARGUERITE M NICOLAS CHAR FDN INC,831983302,Englewood,Sarasota,Private foundation,T20,Y,606212,65837,0
TOOMEY FOUNDATION FOR THE NATURAL SCIENCES INC,651077421,Bradenton,Manatee,Private foundation,V21,Y,603887,55625,0
RIDGEVIEW CHARITABLE FOUNDATION,871614606,Sarasota,Sarasota,Private foundation,F22,Y,583239,275849,0
PIERCE FAMILY FOUNDATION,010800004,Longboat Key,Sarasota,Private foundation,T22,Y,571649,246128,0
HAROLD & EVELYN R DAVIS MEMORIAL FOUNDATION INC,311598507,Sarasota,Sarasota,Private foundation,T90Z,Y,571035,76414,0
RUTH M FOY CHARITABLE FOUNDATION INC,650102106,Sarasota,Sarasota,Private foundation,,Y,543100,386175,0
THE JIM AND ELLEN WHITE FAMILY FOUNDATION INC,201972244,Sarasota,Sarasota,Private foundation,T22,Y,541405,32250,0
HERON CREEK COMMUNTIY FOUNDATION,273027214,North Port,Sarasota,Public grantmaker,T31,,537712,137237,137237
EVERYONE CAN HELP INC,020709043,Venice,Sarasota,Public grantmaker,T12,,531916,1639190,1276449
E LIBERTY FOUNDATION INC,462626072,Sarasota,Sarasota,Private foundation,T22,Y,530266,30991,0
BILL C AND PATRICIA P BROWN CHARITABLE FOUNDATION INC,650193746,Sarasota,Sarasota,Private foundation,,Y,525732,105549,0
DOCTORS IN TRAINING FOUNDATION INC,933968912,Sarasota,Sarasota,Private foundation,,Y,524011,1015021,0
WYMAN FAMILY FOUNDATION TR DTD 6-6-2023,936494851,Longboat Key,Sarasota,Private foundation,T22,Y,521229,17548,0
FRANK CASSATA FAMILY FOUNDATION,113270612,Sarasota,Sarasota,Private foundation,T20J,Y,518461,17774,0
JOAN AND MARSHALL CUTLER FAMILY FOUNDATION INC,522007516,Longboat Key,Sarasota,Private foundation,T22Z,Y,513072,479029,0
ROBERT K DIXON FOUNDATION INC,592748301,Nokomis,Sarasota,Private foundation,,Y,509272,311756,0
ANGUS W GRAHAM JR FAMILY FOUNDATION INC,651110612,Bradenton,Manatee,Private foundation,T20,Y,506904,300855,0
THOMAS D AND PATSY K HOSMAN FAMILY FOUNDATION INC,874042732,Englewood,Sarasota,Private foundation,P20,Y,494486,157267,0
FALL CREEK VALLEY FOUNDATION INC,450839936,Venice,Sarasota,Private foundation,T21,Y,481829,15036,0
BILOUS FAMILY CHARITABLE FOUNDATION INC,651062193,Osprey,Sarasota,Private foundation,T22,Y,479475,35799,0
INTERCHANGE FOUNDATION INC,842116385,Siesta Key,Sarasota,Private foundation,T99,Y,477163,17335,0
JEROME CRICK FOUNDATION INC,923655650,Nokomis,Sarasota,Private foundation,T23,Y,468668,1,0
SAVIDGE FAMILY FOUNDATION INC,651062266,Sarasota,Sarasota,Private foundation,T22,Y,464441,105954,0
LESLIE P OBERLEDER PROFESSOR OF GERIATRIC MEDICINE,656180303,Venice,Sarasota,Private foundation,B99Z,Y,464196,154808,0
DAVIS FAMILY FOUNDATION,043575992,Nokomis,Sarasota,Private foundation,T90,Y,461481,243726,0
WHELAN FAMILY FOUNDATION,356725404,Holmes Beach,Manatee,Private foundation,T22,Y,460836,74294,0
RON AND MARLA WOLF FAMILY FOUNDATION INC,834472724,Sarasota,Sarasota,Private foundation,T20,Y,458568,11772,0
BILLY J AND JEANE S MARTIN FOUNDATION,870627584,Sarasota,Sarasota,Private foundation,T22,Y,452868,76058,0
VISION FOR THE AMERICAS INC,300938707,Sarasota,Sarasota,Public grantmaker,T30,,452139,182688,182688
LAN FAMILY FOUNDATION,263910551,Sarasota,Sarasota,Private foundation,T22,Y,449467,64367,0
DAVID AND MYRNA BAND FAMILY FOUNDATION INC,851101241,Sarasota,Sarasota,Private foundation,T20,Y,444175,38041,0
ROBERT AND SHERRY ROGERS MDFOUNDATION INC,208104471,Sarasota,Sarasota,Private foundation,T20,Y,442315,68162,0
PRICE FAMILY FOUNDATION INC,200253270,Sarasota,Sarasota,Private foundation,T22,Y,438435,1116516,0
GEORGE BARRIE FOUNDATION INC,226042649,Sarasota,Sarasota,Private foundation,,Y,431614,210636,0
ALLAN D SUTTON AND ANITA SUTTON FAMILY FOUNDATION INC,463417140,Sarasota,Sarasota,Private foundation,P99,Y,431175,83128,0
AKHOURY FOUNDATION INC,223417520,Longboat Key,Sarasota,Private foundation,T20Z,Y,426124,647425,0
SANDOR FAMILY FOUNDATION,205956773,Sarasota,Sarasota,Private foundation,T20,Y,424045,512610,0
SUSAN L BROWN AND ROBERT H THILL JR FAMILY FOUNDATION,851069040,Sarasota,Sarasota,Private foundation,T22,Y,413179,21028,0
SIMON AND STELLA SHEIB FOUNDATION,136216916,Sarasota,Sarasota,Private foundation,,Y,409686,317814,0
FREDERICK A AND SUSAN HOSMAN FAMILY FOUNDATION INC,873898512,Englewood,Sarasota,Private foundation,P12,Y,407199,42914,0
TERRANOVA EQUESTRIAN FOUNDATION INC,611632801,Bradenton,Manatee,Private foundation,T20,Y,406905,300000,0
IMG ACADEMY FOUNDATION INC,883778491,Bradenton,Manatee,Private foundation,T20,Y,400749,571438,0
JOSEPH B AND NANCY M TYNAN FAMILY FOUNDATION,266690290,Holmes Beach,Manatee,Private foundation,T90,Y,393250,125038,0
STEVE AND JUDY COX FOUNDATION 2 INC,994164183,Bradenton,Manatee,Private foundation,P12,Y,390167,500000,0
SANDY FAMILY FOUNDATION INC,383208309,Longboat Key,Sarasota,Private foundation,T22Z,Y,383364,141732,0
CHRISMAN FAMILY FOUNDATION INC,832068931,Sarasota,Sarasota,Private foundation,T99,Y,375048,145274,0
SETH MORRIS 911 HEROS FOUNDATION INC,010728135,Sarasota,Sarasota,Private foundation,B82,,369680,352465,0
JAMES AND MARYANN ARMOUR FAMILY FOUNDATION INC,834289839,Sarasota,Sarasota,Private foundation,T20,Y,368448,458533,0
CAROLYN J GABLE FOUNDATION,461600757,Sarasota,Sarasota,Private foundation,T22,Y,364351,127040,0
HAWKS FAMILY FOUNDATION,861581658,Longboat Key,Sarasota,Private foundation,T20,Y,362307,222000,0
VICTOR P AND PATRICIA S MANNING FAMILY FOUNDATION,824709073,Venice,Sarasota,Private foundation,,Y,360732,65139,0
WORD PLUS INC,650967209,Parrish,Manatee,Private foundation,T22,Y,360729,14932,0
THE KENNETH D MORGAN CHARITABLE FOUNDATION TRUST,306404110,Sarasota,Sarasota,Private foundation,T99,Y,358558,144518,0
MISSION FOUNDATION OF FLORIDA INC,201435228,Bradenton,Manatee,Private foundation,T20,Y,346612,182485,0
STONY BROOK FOUNDATION INC,222766098,Sarasota,Sarasota,Private foundation,,Y,344905,151859,0
ROWAN FOUNDATION INC,200484903,Osprey,Sarasota,Private foundation,T20,Y,334042,14720,0
JONES FAMILY CHARITABLE FOUNDATION INC,364960654,Sarasota,Sarasota,Private foundation,T50,Y,332051,20730,0
WANVIG FOUNDATION INC,650885129,Sarasota,Sarasota,Private foundation,T22,Y,331561,145017,0
DAVID J AND SHARON L KENWORTHY FAMILY FOUNDATION INC,873273058,Sarasota,Sarasota,Private foundation,P30,Y,323076,128693,0
RANDOM ACTS OF KINDNESS INC,611757796,Sarasota,Sarasota,Private foundation,T20,Y,322429,379816,0
JOHN O & HELEN YOUNGER CHARITABLE TRUST,650314860,Sarasota,Sarasota,Private foundation,,Y,320591,173473,0
MICHAEL AND JEAN FREED FAMILY FOUNDATION,201915201,Longboat Key,Sarasota,Private foundation,T22,Y,310766,202609,0
GRATEFUL HEARTS CHARITABLE TRUST,472565674,Venice,Sarasota,Private foundation,X20,Y,294602,333987,0
PETER PAULSON EXCELLENT FOUNDATION INC,863292464,Longboat Key,Sarasota,Private foundation,B82,Y,281145,238334,0
BEVERLY BEALL AND R KEMP RIECHMANN FOUNDATION INC,650808807,Bradenton,Manatee,Private foundation,B82Z,Y,268789,175383,0
HARRIET AND RAYMOND BRUSH CHARITABLE FOUNDATION INC,650835440,Sarasota,Sarasota,Private foundation,T20,Y,268723,82015,0
JOSEPH AND CYNTHIA VITALE FAMILY FOUNDATION,853835823,Venice,Sarasota,Private foundation,T22,Y,265557,11931,0
HARGREAVES FAMILY CHARITABLE FOUNDATION,814298358,Sarasota,Sarasota,Private foundation,T20,Y,264116,14076,0
THOMAS J ZANIOS III FOUNDATION,871559529,Osprey,Sarasota,Private foundation,P20,Y,262016,127621,0
ABE C KENNEDY AND ROSE H KENNEDY CHARITABLE FOUNDATION,461192441,Englewood,Sarasota,Private foundation,T20,Y,261033,9990,0
GONDELMAN FOUNDATION INC,136174445,Longboat Key,Sarasota,Private foundation,,Y,253704,247535,0
BOSMA AND RALSTON FAMILY FOUNDATION,831059995,Longboat Key,Sarasota,Private foundation,T20,Y,251506,5824,0
FIVE TALENT FUND,043166031,Bradenton,Manatee,Private foundation,,Y,244908,285095,0
JOY A CUNNINGHAM CHARITABLE FOUNDATION TR,276339297,Sarasota,Sarasota,Private foundation,T20,Y,243347,69499,0
MARIANNE AND BUD SIEGAL FAMILY FOUNDATION INC,651069761,Osprey,Sarasota,Private foundation,T22,Y,239092,44013,0
CHARLES A MILLER JR FOUNDATION,311757743,Sarasota,Sarasota,Private foundation,T22,Y,236688,10288,0
SIEGFRIED FAMILY FOUNDATION,923270423,Sarasota,Sarasota,Private foundation,T22,Y,233474,222910,0
WORLD CLASS EDUCATIONAL RESEARCH FOUNDATION INC,650636034,Sarasota,Sarasota,Private foundation,B90Z,Y,229110,5421,0
IRMA SCHUSTER FOUNDATION INC,010805754,Sarasota,Sarasota,Private foundation,T20,Y,224399,217417,0
ROTARY CLUB OF PARRISH FLORIDA,825105785,Englewood,Sarasota,Private foundation,P20,Y,223034,156684,0
AL-DAR FOUNDATION,920713294,Sarasota,Sarasota,Private foundation,T22,Y,222287,558070,0
WISDOM FAMILY FOUNDATION,261298966,Sarasota,Sarasota,Private foundation,T20,Y,214384,124395,0
LEELA AND MURALI D ATLURU FAMILYFOUNDATION INC,204010710,Sarasota,Sarasota,Private foundation,T20,Y,213988,38373,0
CALDWELL FAMILY FOUNDATION,453724410,Sarasota,Sarasota,Private foundation,T22,Y,213473,428566,0
THE PAPERNICK FAMILY FOUNDATION,237750564,Longboat Key,Sarasota,Private foundation,,Y,212893,19917,0
LARRY AND DORIS KELLY FOUNDATION,383126025,Sarasota,Sarasota,Private foundation,,Y,209441,109043,0
BERRY EDUCATIONAL TRUST INC,650533522,Longboat Key,Sarasota,Private foundation,T22Z,Y,206799,25947,0
GRAIN FAMILY FOUNDATION INC,844933973,Sarasota,Sarasota,Private foundation,T20,Y,206191,273389,0
BETTY AND MARIE HEALY FAMILY FOUNDATION INC,421566848,Sarasota,Sarasota,Private foundation,T22,Y,202632,13790,0
JEFFREY M HILL FOUNDATION TRUSTAGREEMENT,207340409,Venice,Sarasota,Private foundation,T22,Y,201765,8042,0
FIRTH-LINK FAMILY FOUNDATION TRUST,460980164,Sarasota,Sarasota,Private foundation,T22,Y,200426,47689,0
ZEDECK FAMILY FOUNDATION INC,650882486,Sarasota,Sarasota,Private foundation,T20,Y,200321,24469,0
RASM REALTORS CHARITABLE FOUNDATION INC,854232393,Sarasota,Sarasota,Public grantmaker,T12,,195249,344853,311543
FROM CRADLE TO COLLEGE FOUNDATION,815170404,Palmetto,Manatee,Public grantmaker,T30,,194913,328000,328000
MELINA HUDSON FOUNDATION,141723792,Sarasota,Sarasota,Private foundation,T20,Y,194415,27727,0
GEORGE AND MARIAMMA THOMAS FOUNDATION INC,472629973,Bradenton,Manatee,Private foundation,T20,Y,187547,34274,0
LIEBERMAN JAY M & JOAN K CHARITABLE FUND,391686098,Longboat Key,Sarasota,Private foundation,,Y,177563,109718,0
THE SERTOMA CLUB OF BRADENTON INC,596214582,Bradenton,Manatee,Public grantmaker,T30,,176833,146143,109950
DJD FOUNDATION,383553476,Sarasota,Sarasota,Private foundation,T22,Y,173101,6727,0
DENISE AMBER LEE FOUNDATION INC,272372559,Englewood,Sarasota,Public grantmaker,T20,,167379,1025289,1025289
J EDWIN JONES & MADALINE G JONES CHARITABLE FOUNDATION,272039971,Englewood,Sarasota,Private foundation,T22,Y,166924,19856,0
STEVE AND JUDY COX FAMILY FOUNDATION 1 INC,332132553,Bradenton,Manatee,Private foundation,T20,Y,166667,250000,0
WAYNNE WILLIAM JOHNSON CHARITABLE TR,596848598,Sarasota,Sarasota,Private foundation,,Y,166453,24553,0
H & R CHARITABLE FOUNDATION,436319120,Sarasota,Sarasota,Private foundation,,Y,163379,26630,0
THE PALMETTO HISTORICAL COMMISSION INC,592345073,Palmetto,Manatee,Private foundation,A80,Y,163212,9309,0
VERROCHI FAM CHARITABLE TR UDT 082193,046740855,Sarasota,Sarasota,Private foundation,,Y,163211,7023,0
PAUL MARSHALL CHARITABLE FOUNDATION INC,814498691,Sarasota,Sarasota,Private foundation,T20,Y,161625,18228,0
BE A GIFT FOUNDATION,274118620,Longboat Key,Sarasota,Private foundation,T20,Y,156436,65214,0
BRADENTON WOMANS CLUB INC,590655170,Bradenton,Manatee,Public grantmaker,T31,,151043,123068,114268
RAEBURN FAMILY FOUNDATION INC,331192680,Sarasota,Sarasota,Private foundation,T22,Y,146734,12207,0
ROTARY FLORIDA PETS INC,204342322,Venice,Sarasota,Public grantmaker,T31,,145071,241272,241272
BENJAMIN B AND NATALIE O LEVIN FOUNDATION,233021265,Sarasota,Sarasota,Private foundation,T22,Y,143703,5467,0
GARDIKES FAMILY FOUNDATION INC,200536787,Osprey,Sarasota,Private foundation,T22,Y,143293,35209,0
PETER A WISH AND LESLIEBETH BERGER WISH FOUNDATION INC,650845132,Sarasota,Sarasota,Private foundation,T20Z,Y,140415,25000,0
THE AURORA FOUNDATION,237044641,Bradenton,Manatee,Private foundation,,Y,134685,5128,0
THE SOUL SUPPORT FOUNDATION INC,133373753,Sarasota,Sarasota,Private foundation,,Y,133736,69855,0
JIMMY DEVELLANO FOUNDATION INC,562417801,Sarasota,Sarasota,Private foundation,X22,Y,132162,300000,0
ROSENFIELD FAM FOUNDATION TR AGREEMENT 10132007,656470902,Longboat Key,Sarasota,Private foundation,T22,Y,131058,5422,0
THE ROTARY CLUB OF ANNA MARIA ISLAND FOUNDATION INC,861122241,Holmes Beach,Manatee,Public grantmaker,T30,,130606,152456,55692
HIGHER LEVEL FOUNDATION INC,880950683,Sarasota,Sarasota,Private foundation,T22,Y,124971,75000,0
THE JANE FAMILY FOUNDATION,566061641,Sarasota,Sarasota,Private foundation,,Y,120631,14260,0
U N I FOUNDATION INCORPORATED,872283661,Sarasota,Sarasota,Private foundation,T30,Y,113456,5000,0
KOBREN FAM CHARITABLE TR,046885196,Sarasota,Sarasota,Private foundation,T20,Y,111335,6215,0
