score,ein,name,city,county,zip,ntee,files_990pf,foundation_cd,assets,income,revenue,signals
60,656230256,THE PATTERSON FOUNDATION,Sarasota,Sarasota,34236,T20Z,Y,04,303914597,75703026,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,832115946,BRIAN AND SHEILA JELLISON FAMILY FOUNDATION,Sarasota,Sarasota,34230,T20,Y,04,84144773,8703736,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,842333839,WILLIAM G AND MARIE SELBY FOUNDATION INC,Sarasota,Sarasota,34236,T20,Y,04,78312524,5382624,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,316647684,ANTHONY AND CHRISTIE DE NICOLA FOUNDATION,Englewood,Sarasota,34223,T21,Y,04,74738346,21115972,0,ntee-grantmaker:T21;files-990PF;private-foundation:04;name:foundation
60,923457678,RENWICK FOUNDATION-USA,Longboat Key,Sarasota,34228,T20,Y,04,66398868,43510927,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,271471062,PENTECOST FOUNDATION,Bradenton,Manatee,34208,T22,Y,04,62890141,52642858,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,461488932,ELLING O EIDE CHARITABLE FOUNDATION INC,Sarasota,Sarasota,34231,T23,Y,03,62757939,13324680,0,ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation
60,203073117,THE BILL & ANN TEMPLETON FOUNDATION INC,Sarasota,Sarasota,34237,T22,Y,04,53174148,7889423,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,237966458,HILDA & PRESTON DAVIS PRIVATE FOUNDATION,Sarasota,Sarasota,34241,T20Z,Y,04,48104121,6400817,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,233089181,JOAN M WISMER FOUNDATION,Sarasota,Sarasota,34241,T20,Y,04,43785739,14758734,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
