ein,display_name,priority,score,city,county,signals,website,filing_year,filing_xml
461462262,ROBERT D KLAUSNER CHARITABLE FOUNDATION INC,D,60,Plantation,Broward,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://rdkcharity.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523219349106507_public.xml
043434410,BENJAMIN H GORDON CHARITABLE FOUNDATION INC,D,60,Palm Beach,Palm Beach,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://nonprofitlocator.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413449349101206_public.xml
611592257,DEMAIN FAMILY FOUNDATION INC,D,60,Miami,Miami-Dade,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://demainfoundation.org,2015,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/201633239349100208_public.xml
873742044,RIPPLE LINES FOUNDATION,D,60,Davie,Broward,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://ripplelines.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202522889349100322_public.xml
854057648,KIRK & ARSINEH KAZAZIAN FAMILY CHARITABLE TRUST,D,60,Ft Lauderdale,Broward,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://guidestar.org,2021,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202201729349100905_public.xml
844210848,HARVEY MILK FOUNDATION FLORIDA,D,60,Wilton Manors,Broward,ntee-grantmaker:T21;files-990PF;private-foundation:04;name:foundation,https://www.milkfoundation.org,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202600569349100510_public.xml
311547949,ARTHUR & ANNE SHEIR FOUNDATION INC,D,60,Miami,Miami-Dade,ntee-grantmaker:T22Z;files-990PF;private-foundation:04;name:foundation,https://guidestar.org,2020,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202103199349106400_public.xml
872977676,ORC FAMILY FOUNDATION INC,D,60,Hollywood,Broward,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://www.orcfoundation.org,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202630629349100428_public.xml
272544635,ANDREW KUKES FOUNDATION FOR SOCIAL ANXIETY INC,D,60,Delray Beach,Palm Beach,ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation,https://www.akfsa.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533049349100903_public.xml
650708442,ROCKING HORSE FOUNDATION INC,D,60,Jupiter,Palm Beach,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation,https://www.rockinghorse-foundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511359349105366_public.xml
656470349,THE CAPLAN BENSLEY FOUNDATION,D,60,North Palm Beach,Palm Beach,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://caplanbensleyfoundation.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202520429349100612_public.xml
823462489,J FREEMAN FOUNDATION INC,D,60,Miami Beach,Miami-Dade,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://www.jfreemanfoundation.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349102144_public.xml
710927327,JONATHAN PLUTZIK AND LESLEY GOLDWASSER FAMILY FOUNDATION INC,D,60,Miami Beach,Miami-Dade,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://jplutzikpgfdn.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531959349100108_public.xml
326148616,JOYCE AND THOMAS MOOREHEAD FOUNDATION 12282010,D,60,Pinecrest,Miami-Dade,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://www.themooreheadfoundation.org,2020,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202212909349100831_public.xml
651071641,PLATT SPORTS FOUNDATION INC,D,60,Boca Raton,Palm Beach,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://www.sportsimmortals.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531439349100403_public.xml
462925647,FINKER - FRENKEL LEGACY FOUNDATION INC,D,60,Miami,Miami-Dade,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation,https://www.legacyf.com,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202531779349101008_public.xml
814683829,MYERS FAMILY FOUNDATION,D,60,Palm Beach Gardens,Palm Beach,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://www.themyersfamilyfoundation.com,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349100311_public.xml
853537730,IMPACT COMPETITION FOUNDATION,D,60,Miami Beach,Miami-Dade,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation,https://impactcompetition.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501679349100670_public.xml
880936587,LONGEVITY SCIENCE FOUNDATION INC,D,60,Miami,Miami-Dade,ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation,https://longevity.foundation,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202611039349101106_public.xml
